Project name;PDFBOX
GitHub repository link;https://github.com/apache/pdfbox/

Non-linked tickets;424
Non-linked tickets Percentage;19,602404

MONTH-YEAR;NUMBER BUG FIXED;TOTAL COMMITS;MEAN;MEAN+3STD;MEAN-3STD
9-2019;4;52;12,076389;38,70002;0,0
10-2019;6;34;12,076389;38,70002;0,0
11-2019;6;75;12,076389;38,70002;0,0
12-2019;10;144;12,076389;38,70002;0,0
1-2020;7;65;12,076389;38,70002;0,0
2-2020;9;47;12,076389;38,70002;0,0
3-2020;6;37;12,076389;38,70002;0,0
4-2020;7;73;12,076389;38,70002;0,0
5-2020;8;63;12,076389;38,70002;0,0
6-2020;13;59;12,076389;38,70002;0,0
